User,First_Day,Last_Day,Total_Inc,Total_Locks,Days_of_Cycle,,,,
a1007,2018-06-01T00:00:00.000-05:00,2018-06-04T00:00:00.000-05:00,204,0,3,,,,
a1007,2018-06-09T00:00:00.000-05:00,2018-06-30T00:00:00.000-05:00,583,0,21,,,,
aapostol,2018-06-05T00:00:00.000-05:00,2018-06-05T00:00:00.000-05:00,20,5,0,,,,
aapostol,2018-06-14T00:00:00.000-05:00,2018-06-14T00:00:00.000-05:00,25,5,0,,,,
aapostol,2018-06-19T00:00:00.000-05:00,2018-06-19T00:00:00.000-05:00,10,5,0,,,,
aapostol,2018-06-25T00:00:00.000-05:00,2018-06-25T00:00:00.000-05:00,35,5,0,,,,
aapostol,2018-06-28T00:00:00.000-05:00,2018-06-28T00:00:00.000-05:00,15,5,0,,,,
aarnao,2018-06-14T00:00:00.000-05:00,2018-06-14T00:00:00.000-05:00,7,3,0,,,,
ab,2018-06-22T00:00:00.000-05:00,2018-06-22T00:00:00.000-05:00,6,1,0,,,,
abenalli,2018-06-06T00:00:00.000-05:00,2018-06-06T00:00:00.000-05:00,7,3,0,,,,
abieniek,2018-06-27T00:00:00.000-05:00,2018-06-27T00:00:00.000-05:00,6,3,0,,,,
ablackb3,2018-06-27T00:00:00.000-05:00,2018-06-27T00:00:00.000-05:00,5,3,0,,,,
acarte64,2018-06-21T00:00:00.000-05:00,2018-06-21T00:00:00.000-05:00,6,6,0,,,,
acowell1,2018-06-29T00:00:00.000-05:00,2018-06-29T00:00:00.000-05:00,12,0,0,,,,
adelany,2018-06-20T00:00:00.000-05:00,2018-06-20T00:00:00.000-05:00,14,1,0,,,,
aelvena,2018-06-01T00:00:00.000-05:00,2018-06-01T00:00:00.000-05:00,6,0,0,,,,
aelvena,2018-06-05T00:00:00.000-05:00,2018-06-05T00:00:00.000-05:00,5,0,0,,,,
agarc95,2018-06-24T00:00:00.000-05:00,2018-06-25T00:00:00.000-05:00,14,10,1,,,,
agrant28,2018-06-22T00:00:00.000-05:00,2018-06-22T00:00:00.000-05:00,6,5,0,,,,
agupt49,2018-06-01T00:00:00.000-05:00,2018-06-01T00:00:00.000-05:00,6,1,0,,,,
agupt49,2018-06-04T00:00:00.000-05:00,2018-06-04T00:00:00.000-05:00,6,1,0,,,,
agupt49,2018-06-11T00:00:00.000-05:00,2018-06-11T00:00:00.000-05:00,6,1,0,,,,
ahall136,2018-06-25T00:00:00.000-05:00,2018-06-25T00:00:00.000-05:00,15,3,0,,,,
ahayman1,2018-06-26T00:00:00.000-05:00,2018-06-26T00:00:00.000-05:00,20,2,0,,,,
akulka6,2018-06-28T00:00:00.000-05:00,2018-06-28T00:00:00.000-05:00,8,7,0,,,,
akunkel2,2018-06-15T00:00:00.000-05:00,2018-06-15T00:00:00.000-05:00,6,7,0,,,,
alasage,2018-06-22T00:00:00.000-05:00,2018-06-22T00:00:00.000-05:00,6,3,0,,,,
amiddl4,2018-06-01T00:00:00.000-05:00,2018-06-01T00:00:00.000-05:00,6,3,0,,,,
amiddl4,2018-06-03T00:00:00.000-05:00,2018-06-04T00:00:00.000-05:00,18,6,1,,,,
amirel2,2018-06-04T00:00:00.000-05:00,2018-06-04T00:00:00.000-05:00,5,9,0,,,,
amirel2,2018-06-06T00:00:00.000-05:00,2018-06-06T00:00:00.000-05:00,10,9,0,,,,
amirel2,2018-06-21T00:00:00.000-05:00,2018-06-22T00:00:00.000-05:00,10,18,1,,,,
amirel2,2018-06-27T00:00:00.000-05:00,2018-06-27T00:00:00.000-05:00,5,9,0,,,,
anadjie,2018-06-25T00:00:00.000-05:00,2018-06-25T00:00:00.000-05:00,6,4,0,,,,
analubol,2018-06-02T00:00:00.000-05:00,2018-06-02T00:00:00.000-05:00,7,2,0,,,,
anava1,2018-06-04T00:00:00.000-05:00,2018-06-04T00:00:00.000-05:00,5,7,0,,,,
anavea1,2018-06-28T00:00:00.000-05:00,2018-06-28T00:00:00.000-05:00,6,2,0,,,,
apogaru,2018-06-18T00:00:00.000-05:00,2018-06-18T00:00:00.000-05:00,9,1,0,,,,
aprasa20,2018-06-19T00:00:00.000-05:00,2018-06-19T00:00:00.000-05:00,9,3,0,,,,
arakowsk,2018-06-27T00:00:00.000-05:00,2018-06-27T00:00:00.000-05:00,6,3,0,,,,
arothwel,2018-06-20T00:00:00.000-05:00,2018-06-20T00:00:00.000-05:00,6,3,0,,,,
asanche4,2018-06-25T00:00:00.000-05:00,2018-06-25T00:00:00.000-05:00,9,9,0,,,,
asinghs1,2018-06-19T00:00:00.000-05:00,2018-06-19T00:00:00.000-05:00,6,3,0,,,,
astewa15,2018-06-01T00:00:00.000-05:00,2018-06-01T00:00:00.000-05:00,12,7,0,,,,
ataberni,2018-06-21T00:00:00.000-05:00,2018-06-21T00:00:00.000-05:00,8,8,0,,,,
awiega1,2018-06-27T00:00:00.000-05:00,2018-06-27T00:00:00.000-05:00,6,3,0,,,,
badams31,2018-06-21T00:00:00.000-05:00,2018-06-21T00:00:00.000-05:00,5,0,0,,,,
bdelval1,2018-06-26T00:00:00.000-05:00,2018-06-26T00:00:00.000-05:00,8,3,0,,,,
bharri22,2018-06-26T00:00:00.000-05:00,2018-06-26T00:00:00.000-05:00,5,1,0,,,,
blattim,2018-06-13T00:00:00.000-05:00,2018-06-13T00:00:00.000-05:00,24,15,0,,,,
blattim,2018-06-20T00:00:00.000-05:00,2018-06-20T00:00:00.000-05:00,16,15,0,,,,
bmayor1,2018-06-26T00:00:00.000-05:00,2018-06-26T00:00:00.000-05:00,5,6,0,,,,
bmayor1,2018-06-29T00:00:00.000-05:00,2018-06-30T00:00:00.000-05:00,10,12,1,,,,
bmeinek,2018-06-23T00:00:00.000-05:00,2018-06-24T00:00:00.000-05:00,16,6,1,,,,
bpatel44,2018-06-23T00:00:00.000-05:00,2018-06-23T00:00:00.000-05:00,6,7,0,,,,
brobin42,2018-06-22T00:00:00.000-05:00,2018-06-22T00:00:00.000-05:00,10,6,0,,,,
